[2026-06-01T23:08:40] final audit runner start
[2026-06-02T00:28:56] done nest_l1_reversal_ridge_market_cap success=True valid=5/5 sharpe=3.662
[2026-06-02T00:28:56] run nest_l1_momentum_equal_market_cap n=5 method=equal neutralize=market_cap
[2026-06-02T00:29:09] done nest_l1_momentum_equal_market_cap success=True valid=5/5 sharpe=3.254
[2026-06-02T00:29:09] run nest_l1_momentum_icir_market_cap n=5 method=icir neutralize=market_cap
[2026-06-02T00:29:33] done nest_l1_momentum_icir_market_cap success=True valid=5/5 sharpe=2.633
[2026-06-02T00:29:33] run nest_l1_momentum_ridge_market_cap n=5 method=ridge neutralize=market_cap
[2026-06-02T00:29:55] done nest_l1_momentum_ridge_market_cap success=True valid=5/5 sharpe=2.045
[2026-06-02T00:29:55] run nest_l1_microstructure_equal_market_cap n=5 method=equal neutralize=market_cap
[2026-06-02T00:30:08] done nest_l1_microstructure_equal_market_cap success=True valid=5/5 sharpe=3.287
[2026-06-02T00:30:08] run nest_l1_microstructure_icir_market_cap n=5 method=icir neutralize=market_cap
[2026-06-02T00:30:31] done nest_l1_microstructure_icir_market_cap success=True valid=5/5 sharpe=3.310
[2026-06-02T00:30:31] run nest_l1_microstructure_ridge_market_cap n=5 method=ridge neutralize=market_cap
[2026-06-02T00:30:49] fatal ConnectionResetError: [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2026-06-02T00:31:07] final audit runner start
[2026-06-02T00:33:06] stopped pid=4516 term= app.py
[2026-06-02T00:33:25] Flask restarted with audit patches
[2026-06-02T00:33:26] loaded eligible single factors=543
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n5_equal_none
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n5_equal_market_cap
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n5_equal_market_cap_regression
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n5_equal_beta
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n5_equal_market_cap_beta
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n5_icir_none
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n5_icir_market_cap
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n5_icir_market_cap_regression
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n5_icir_beta
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n5_icir_market_cap_beta
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n5_ridge_none
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n5_ridge_market_cap
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n5_ridge_market_cap_regression
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n5_ridge_beta
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n5_ridge_market_cap_beta
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n10_equal_none
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n10_equal_market_cap
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n10_equal_market_cap_regression
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n10_equal_beta
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n10_equal_market_cap_beta
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n10_icir_none
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n10_icir_market_cap
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n10_icir_market_cap_regression
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n10_icir_beta
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n10_icir_market_cap_beta
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n10_ridge_none
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n10_ridge_market_cap
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n10_ridge_market_cap_regression
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n10_ridge_beta
[2026-06-02T00:33:26] reuse completed top_is_sharpe_n10_ridge_market_cap_beta
[2026-06-02T00:33:26] reuse completed greedy_corr_0.3_n10_equal_none
[2026-06-02T00:33:26] reuse completed greedy_corr_0.3_n10_equal_market_cap
[2026-06-02T00:33:26] reuse completed greedy_corr_0.3_n10_equal_market_cap_regression
[2026-06-02T00:33:26] reuse completed greedy_corr_0.3_n10_equal_beta
[2026-06-02T00:33:26] reuse completed greedy_corr_0.3_n10_equal_market_cap_beta
[2026-06-02T00:33:26] reuse completed greedy_corr_0.3_n10_icir_none
[2026-06-02T00:33:26] reuse completed greedy_corr_0.3_n10_icir_market_cap
[2026-06-02T00:33:26] reuse completed greedy_corr_0.3_n10_icir_market_cap_regression
[2026-06-02T00:33:26] reuse completed greedy_corr_0.3_n10_icir_beta
[2026-06-02T00:33:26] reuse completed greedy_corr_0.3_n10_icir_market_cap_beta
[2026-06-02T00:33:26] reuse completed greedy_corr_0.3_n10_ridge_none
[2026-06-02T00:33:26] reuse completed greedy_corr_0.3_n10_ridge_market_cap
[2026-06-02T00:33:26] reuse completed greedy_corr_0.3_n10_ridge_market_cap_regression
[2026-06-02T00:33:26] reuse completed greedy_corr_0.3_n10_ridge_beta
[2026-06-02T00:33:26] reuse completed greedy_corr_0.3_n10_ridge_market_cap_beta
[2026-06-02T00:33:26] reuse completed greedy_corr_0.5_n10_equal_none
[2026-06-02T00:33:26] reuse completed greedy_corr_0.5_n10_equal_market_cap
[2026-06-02T00:33:26] reuse completed greedy_corr_0.5_n10_equal_market_cap_regression
[2026-06-02T00:33:26] reuse completed greedy_corr_0.5_n10_equal_beta
[2026-06-02T00:33:26] reuse completed greedy_corr_0.5_n10_equal_market_cap_beta
